Year,Rank,Title,Artist
2015,1,Uptown Funk,Mark Ronson
2015,2,Thinking Out Loud,Ed Sheeran
2015,3,See You Again,Wiz Khalifa
2015,4,Trap Queen,Fetty Wap
2015,5,Sugar,Maroon 5
2015,6,Shut Up and Dance,Walk the Moon
2015,7,Blank Space,Taylor Swift
2015,8,Watch Me,Silentó
2015,9,Earned It,The Weeknd
2015,10,The Hills,The Weeknd
2015,11,Cheerleader,OMI
2015,12,Can't Feel My Face,The Weeknd
2015,13,Love Me Like You Do,Ellie Goulding
2015,14,Take Me to Church,Hozier
2015,15,Bad Blood,Taylor Swift
2015,16,Lean On,Major Lazer
2015,17,Want to Want Me,Jason Derulo
2015,18,Shake It Off,Taylor Swift
2015,19,Where Are Ü Now,Skrillex
2015,20,Fight Song,Rachel Platten
2015,21,679,Fetty Wap
2015,22,Lips Are Movin,Meghan Trainor
2015,23,Worth It,Fifth Harmony
2015,24,Post to Be,Omarion
2015,25,"Honey, I'm Good.",Andy Grammer
2015,26,I'm Not the Only One,Sam Smith
2015,27,Good for You,Selena Gomez
2015,28,All About That Bass,Meghan Trainor
2015,29,Style,Taylor Swift
2015,30,Hotline Bling,Drake
2015,31,Hey Mama,David Guetta
2015,32,G.D.F.R.,Flo Rida
2015,33,What Do You Mean?,Justin Bieber
2015,34,Photograph,Ed Sheeran
2015,35,Hello,Adele
2015,36,Stitches,Shawn Mendes
2015,37,Talking Body,Tove Lo
2015,38,Jealous,Nick Jonas
2015,39,Time of Our Lives,Pitbull
2015,40,Locked Away,R. City
2015,41,Somebody,Natalie La Rose
2015,42,FourFiveSeconds,Rihanna
2015,43,Centuries,Fall Out Boy
2015,44,My Way,Fetty Wap
2015,45,Take Your Time,Sam Hunt
2015,46,Animals,Maroon 5
2015,47,I Don't Fuck with You,Big Sean
2015,48,Bitch Better Have My Money,Rihanna
2015,49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
2015,50,Nasty Freestyle,T-Wayne
2015,51,Only,Nicki Minaj
2015,52,Elastic Heart,Sia
2015,53,Cool for the Summer,Demi Lovato
2015,54,Renegades,X Ambassadors
2015,55,I Don't Mind,Usher
2015,56,Love Me Harder,Ariana Grande
2015,57,Wildest Dreams,Taylor Swift
2015,58,Stay with Me,Sam Smith
2015,59,You Know You Like It,DJ Snake
2015,60,Uma Thurman,Fall Out Boy
2015,61,7/11,Beyoncé
2015,62,The Heart Wants What It Wants,Selena Gomez
2015,63,Girl Crush,Little Big Town
2015,64,Slow Motion,Trey Songz
2015,65,Drag Me Down,One Direction
2015,66,Truffle Butter,Nicki Minaj
2015,67,One Last Time,Ariana Grande
2015,68,Chains,Nick Jonas
2015,69,All Eyes on You,Meek Mill
2015,70,No Type,Rae Sremmurd
2015,71,Riptide,Vance Joy
2015,72,Classic Man,Jidenna
2015,73,Ex's & Oh's,Elle King
2015,74,Dear Future Husband,Meghan Trainor
2015,75,Marvin Gaye,Charlie Puth
2015,76,Like I'm Gonna Lose You,Meghan Trainor
2015,77,Habits (Stay High),Tove Lo
2015,78,The Hanging Tree,James Newton Howard
2015,79,CoCo,O.T. Genasis
2015,80,Bang Bang,Jessie J
2015,81,Lay Me Down,Sam Smith
2015,82,Tuesday,ILoveMakonnen
2015,83,Hit the Quan,iLoveMemphis
2015,84,Downtown,Macklemore & Ryan Lewis
2015,85,House Party,Sam Hunt
2015,86,Ayo,Chris Brown
2015,87,Kick the Dust Up,Luke Bryan
2015,88,Blessings,Big Sean
2015,89,Budapest,George Ezra
2015,90,Chandelier,Sia
2015,91,Heartbeat Song,Kelly Clarkson
2015,92,Don't,Ed Sheeran
2015,93,Ghost,Ella Henderson
2015,94,Here,Alessia Cara
2015,95,Waves,Mr Probz
2015,96,El Perdón,Nicky Jam
2015,97,She Knows,Ne-Yo
2015,98,Night Changes,One Direction
2015,99,Back to Back,Drake
2015,100,How Deep Is Your Love,Calvin Harris
